attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,images_url
234,Abou Seifain Church,4.7,158,Church,Monastery and architecture Religious Sites Christinaity,30.01243597,31.23075397,cairo,Church Monastery and architecture Religious Sites Christinaity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5NhpaHgSGg8KUyE0cTjrr2tuWK9wpRC-RR_uPsZCRkYJhqtO-Gu0tlJFcfFI&s
235,The Palace Of Arts,4.5,139,Museum,Art Museums,30.0434641,31.2261003,cairo,Museum Art Museums,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV7m2kaFNjDA5DPRCA3BRKSzLsf5A2NG_FCbCsos7J9Mmok5MU5-Wj07RwXA&s
236,Jaz?rat Warr?q al ?a?ar,4.4,111,island,,30.1186111,31.2258333,cairo,island ,NULL
237,The Royal Mummies Hall,4.7,984,Museum,Ancient Egyptian mummies & coffins,30.0081493,31.2482604,cairo,Museum Ancient Egyptian mummies & coffins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw--tV826syE3xyfG7eGAitd493oXr8JUJzS9mkX-oznG8mertVB4ROsld1g&s
238,Darb 1718,4.3,"1,667",Archive,"Live music, yoga classes & craft courses contemporary art and culture center",30.0030053,31.2317737,cairo,"Archive Live music, yoga classes & craft courses contemporary art and culture center",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_NEMlLWtPJLLPt7rENJnf0Z9Pwigt9se1NglYNrTDIpy4V8_xRCpQD5AULw&s
239,Safarkhan Art Gallery,4.3,59,Art Gallery,Art and modern art,30.0605233,31.2220453,cairo,Art Gallery Art and modern art,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZNtO-CSo6nP3Yua71z3AAOvU7iynakgpe-33TxQ8sNkaiImGShNROjNSzBx4&s
240,Ramses Wissa Wassef Art Center,4.5,124,Art Gallery,Art and museum,29.9687532,31.1759566,giza,Art Gallery Art and museum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9ApC0yw3VNBUbPuSvvslD_2Ko9SsK-ONLjxB1txQOrQWpf-qj9MNm5GYzsls&s
241,Jaz?rat adh Dhahab,3.9,20,island,,31.2058333,30.5533333,giza,island ,NULL
242,Abou Ghorab Temple,4.5,43,Temple,"Temple, ancient egypt, ancient history and architecture historic sites",29.9040194,31.194124,giza,"Temple Temple, ancient egypt, ancient history and architecture historic sites",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNwKAXl2bnB68hhOvvTHXSWbuqudPaooAsCIPlIJQGrXqxZ5Nx5a89w8eyGA&s
243,Foustat Traditional Crafts Center,4.4,194,art and museum,Handicraft,30.0063684,31.2347231,cairo,art and museum Handicraft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCYiIzo6WAGV2f5XDivy9SrHPGOdpG37ula49fTRe9Drp1FaMpCdcATBftXOY&s
244,Egypt's Renaissance Statue,4.4,208,statue,"Renaissance, art and history",30.0283309,31.2159331,giza,"statue Renaissance, art and history",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC_jD1mycXyr6Wn38VrUp6TwRH6LjNAAoLesZ4mTCEqAupC3cV_jFyhg4B_Eo&s
245,Sulayman Pasha Mosque,4.8,40,Mosque,Religious Sites,30.0310618,31.2643464,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCinVTEV6Bsls14alQPgSLivNW4yp-_SYv3lnuu5NfMbHVTi_qWUvRAUUrTg&s
246,Tomb of Queen Khentkawes I,4.5,48,Historical landmark,Historic sites,29.973348,31.1355078,giza,Historical landmark Historic sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuB4TBUlIWRRyav5_lPhDkPm0UUUdzPTgVDM5IhcUP_sIiRpV2GKVwotE-2Q&s
247,Cairo Zoo,3.8,127,Zoo,,30.0221154,31.2160752,giza,Zoo ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRtq5YBWndWVHYEkqOWDjOsSTjLRWOlPDiAuC9IMof4hPsmUs9k-zco90mWcE&s
248,Nation's House Museum,4.3,220,Museum,,30.03804547,31.23745682,cairo,Museum ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2QIr-Pj0ZwPqXA6NGiDa7R_GRgkYMTyhdzWfyszzOCCLWKVRzt2J1oxVytQ&s
